HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
0,12736,2,2
1,20160,34,34
2,21024,66,66
3,6016,74,74
4,18560,96,96
5,7744,104,104
6,18144,125,125
7,8288,131,131
8,2368,170,170
9,640,214,214
10,672,258,258
11,640,302,302
12,672,346,346
13,18336,373,373
14,12823520,385,385

Range Index,Elapsed Time, First Event,Last Event
0,7968,2,2
1,12960,14,14
2,59744,51,51
3,3136,119,119
4,704,132,132
5,672,145,145
6,672,158,158
7,672,170,170
8,10912,178,178
9,16704,285,285
10,768,298,298
11,768,311,311
12,768,324,324
13,800,336,336
14,154112,393,393
15,13376,432,432
16,5824,440,440
17,20832,462,462
18,7648,470,470
19,25632,491,491
20,8192,497,497
21,1888,536,536
22,704,580,580
23,672,624,624
24,672,668,668
25,672,712,712
26,21408,739,739
27,10935104,751,751
